,date,category,connections
0,2023-06-12,palindromes,"['kayak', 'level', 'mom', 'race car']"
1,2023-06-12,keyboard keys,"['option', 'return', 'shift', 'tab']"
2,2023-06-12,nba teams,"['bucks', 'heat', 'jazz', 'nets']"
3,2023-06-12,wet weather,"['hail', 'rain', 'sleet', 'snow']"
4,2023-06-13,letter homophones,"['are', 'queue', 'sea', 'why']"
5,2023-06-13,magazines,"['essence', 'people', 'time', 'us']"
6,2023-06-13,units of length,"['foot', 'league', 'mile', 'yard']"
7,2023-06-13,footwear,"['boot', 'loafer', 'pump', 'sneaker']"
8,2023-06-14,members of a trio,"['amigo', 'king', 'stooge', 'tenor']"
9,2023-06-14,"dog breeds, informally","['lab', 'peke', 'pit', 'pom']"
10,2023-06-14,synonyms for eat,"['chow', 'gobble', 'scarf', 'wolf']"
11,2023-06-14,facial features,"['cheek', 'eye', 'mouth', 'nose']"
12,2023-06-15,___ man superheroes,"['bat', 'iron', 'spider', 'super']"
13,2023-06-15,cleaning verbs,"['dust', 'mop', 'sweep', 'vacuum']"
14,2023-06-15,"musicals beginning with ""c""","['cabaret', 'carousel', 'cats', 'chicago']"
15,2023-06-15,sneaker brands,"['adidas', 'nike', 'puma', 'reebok']"
16,2023-06-16,clue characters,"['green', 'mustard', 'plum', 'scarlet']"
17,2023-06-16,synonyms for sad,"['blue', 'down', 'glum', 'low']"
18,2023-06-16,condiments,"['ketchup', 'mayo', 'relish', 'tartar']"
19,2023-06-16,streaming services,"['hulu', 'netflix', 'peacock', 'prime']"
20,2023-06-17,members of a septet,"['sea', 'sin', 'sister', 'wonder']"
21,2023-06-17,rappers,"['common', 'future', 'ice cube', 'q-tip']"
22,2023-06-17,shades of blue,"['baby', 'midnight', 'powder', 'royal']"
23,2023-06-17,monopoly squares,"['boardwalk', 'chance', 'go', 'jail']"
24,2023-06-18,___ fish that aren't fish,"['cray', 'jelly', 'silver', 'star']"
25,2023-06-18,slang for toilet,"['can', 'head', 'john', 'throne']"
26,2023-06-18,baby animals,"['calf', 'cub', 'joey', 'kid']"
27,2023-06-18,leg parts,"['ankle', 'knee', 'shin', 'thigh']"
28,2023-06-19,things with keys,"['cryptography', 'florida', 'locksmith', 'piano']"
29,2023-06-19,things that are red,"['cherry', 'fire truck', 'ruby', 'stop sign']"
